                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4226,                 0.8374,                0.89182,                0.70222,                0.58416,                0.64669,                0.31834,                 1.6724,                0.97946,                0.90128,               0.000657,               0.000657,               0.000657
                      2,                 1.5576,                 0.9678,                0.90155,                0.62385,                0.45978,                0.49625,                0.21613,                 1.8491,                 1.3022,                0.91849,              0.0013106,              0.0013106,              0.0013106
                      3,                 1.6359,                 1.0538,                0.92652,                0.64609,                0.50495,                0.54562,                0.24991,                 1.8177,                 1.2234,                0.92539,              0.0019509,              0.0019509,              0.0019509
                      4,                 1.6668,                 1.0715,                0.92958,                0.59624,                0.54851,                0.57276,                0.25657,                 1.7619,                 1.2146,                0.92925,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7041,                 1.0835,                 0.9335,                0.66178,                0.50297,                0.54751,                0.21581,                 2.0096,                 1.2754,                0.93724,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7274,                 1.0944,                0.94744,                0.68234,                0.51467,                0.54437,                0.23181,                 1.8509,                 1.1683,                0.92321,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.6947,                  1.074,                0.93935,                0.67725,                0.52871,                0.57026,                0.25022,                 1.8423,                 1.1572,                0.92623,               0.001901,               0.001901,               0.001901
                      8,                 1.7181,                 1.0923,                0.93108,                0.64856,                0.48604,                0.52368,                0.23103,                 1.9139,                  1.236,                0.93802,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6776,                  1.036,                0.92874,                0.66364,                0.54257,                0.59953,                0.27546,                 1.7374,                 1.1208,                0.90173,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7214,                 1.0539,                0.94027,                0.68462,                0.51683,                0.58011,                0.26085,                 1.8206,                  1.165,                0.92581,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.718,                 1.0764,                0.93949,                 0.6369,                 0.5349,                 0.5636,                0.26215,                 1.7198,                 1.1502,                0.91441,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6925,                  1.088,                0.91882,                0.63767,                0.47745,                0.53525,                0.23395,                  1.908,                 1.5016,                0.93329,               0.001802,               0.001802,               0.001802
                     13,                 1.6952,                 1.0324,                0.93628,                0.69903,                0.53267,                0.58751,                0.27276,                  1.731,                 1.1056,                0.90169,              0.0017822,              0.0017822,              0.0017822
